Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
Small Business Loan,Chi Ishobak,35000,400000,"Native American-owned startup, small businesses, Potawatomie or other Native American ownership","Equipment, inventory, supplies, working capital",10-County Pokagon tribal in southwest Michigan and north Indiana,www.chiishobak.org,https://www.chiishobak.org/commercial-loan-program/,Loan,American Indian and Alaska Native,(269) 783-4157,46628
Small Business Micro Loan A,Chi Ishobak,1000,10000,"Native American-owned startup, small businesses, Potawatomie or other Native American ownership","Equipment, inventory, supplies, working capital",10-County Pokagon tribal in southwest Michigan and north Indiana,www.chiishobak.org,https://www.chiishobak.org/commercial-loan-program/,Loan - Microloan,American Indian and Alaska Native,(269) 783-4157,46628
Small Business Micro Loan B,Chi Ishobak,10001,35000,"Native American-owned startup, small businesses, Potawatomie or other Native American ownership","Equipment, inventory, supplies, working capital",10-County Pokagon tribal in southwest Michigan and north Indiana,www.chiishobak.org,https://www.chiishobak.org/commercial-loan-program/,Loan - Microloan,American Indian and Alaska Native,(269) 783-4157,46628
Alabama Launchpad,Economic Development Partnership of Alabama,0,400000,Alabama entrepreneurs,Contact provider,Alabama,alabamalaunchpad.com,https://alabamalaunchpad.com/,Equity,Not specified,(205) 943-4700,35242
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Alabama,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(334) 279-3500,35242
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Alabama,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(334) 279-3500,35242
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Alabama,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(334) 279-3500,35242
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Alabama,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(334) 279-3500,35242
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Alabama,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(334) 279-3500,35242
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Alabama,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(334) 279-3500,35242
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Alabama,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(334) 279-3500,35242
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Alabama,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(334) 279-3400,35242
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Alabama,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(334) 279-3400,35242
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Alabama,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(334) 279-3400,35242
Commercial Charter Fisheries Loan,"Alaska Department of Commerce, Community, and Economic Development",0,200000,Alaska resident for the 24 consecutive months preceding the date of application,"Charter halibut permits, loan refinancing on vessels or gear",Alaska,www.commerce.alaska.gov,https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/CommercialCharterFisheries.aspx,Loan,Not specified,(907) 465-2510,99504
Commercial Fishing Loan Program,"Alaska Department of Commerce, Community, and Economic Development",0,400000,Alaska resident for the past 2 years,"Entry permits, quota shares, vessels, gear, loan refinancing on vessels or gear",Alaska,www.commerce.alaska.gov,https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/CommercialFishingLoanProgram.aspx,Loan,Not specified,(907) 465-2510,99504
Mariculture Loan Program,"Alaska Department of Commerce, Community, and Economic Development",0,100000,"New and existing mariculture operations, must have permitted location, experience in mariculture, and be an Alaska resident for 24 consecutive months preceding the date of application","Planning, construction, and operation of a mariculture business",Alaska,www.commerce.alaska.gov,https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/Mariculture.aspx,Loan,Not specified,(907) 465-2510,99504
